"Year","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species","Relative_distance","Relative_height","Area","Perimeter","Volume","Entrances_number"
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",8,23.125,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.866624194273722,1,103.377,93.452,294.504,3
2024,"160",9,22.557,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.845338030280318,1,103.377,93.452,294.504,3
2024,"160",9,22.557,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.845338030280318,1,103.377,93.452,294.504,3
2024,"160",9,22.557,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.845338030280318,1,103.377,93.452,294.504,3
2024,"160",9,22.557,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.845338030280318,1,103.377,93.452,294.504,3
2024,"160",9,22.557,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.845338030280318,1,103.377,93.452,294.504,3
2024,"160",9,22.557,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.845338030280318,1,103.377,93.452,294.504,3
2024,"160",10,23.852,"Paur",1,"kolo",3.3,26.684,3.3,"Paur",0.893868985159646,1,103.377,93.452,294.504,3
2024,"160",10,23.852,"Paur",1,"kolo",3.3,26.684,3.3,"Paur",0.893868985159646,1,103.377,93.452,294.504,3
2024,"160",10,23.852,"Paur",1,"kolo",3.3,26.684,3.3,"Paur",0.893868985159646,1,103.377,93.452,294.504,3
