"Year","Area","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species"
2025,"Paskomaki","92",2,9.653,"Enil",1,"pinta",2,12.438,2,"Enil"
2025,"Paskomaki","94",1,10.23,"Enil",1,"pinta",1.9,11.677,1.9,"Enil"
2025,"Paskomaki","158",1,1.824,"Enil",1,"pinta",1.8,8.592,1.9,"Enil"
2025,"Paskomaki","99/335",1,2.575,"Enil",1,"pinta",2.2,13.254,2.2,"Enil"
2025,"Paskomaki","99/335",2,12.484,"Enil",1,"kolo",2.2,13.254,2.2,"Enil"
2025,"Paskomaki","99/335",3,9.018,"Enil",1,"kolo",2.2,13.254,2.2,"Enil"
2025,"Pohjoispaa","420",1,5.28,"Enil",1,"pinta",2,12.467,2,"Enil"
2025,"Pohjoispaa","420",2,6.327,"Enil",1,"pinta",2,12.467,2,"Enil"
2025,"Pohjoispaa","420",3,10.167,"Enil",1,"pinta",2,12.467,2,"Enil"
2025,"Pohjoispaa","420",4,11.318,"Enil",1,"pinta",2,12.467,2,"Enil"
2025,"Pohjoispaa","420",5,10.039,"Enil",1,"kolo",2,12.467,2,"Enil"
2025,"Pohjoispaa","420",6,9.991,"Enil",1,"kolo",2,12.467,2,"Enil"
2025,"Pohjoispaa","420",7,10.388,"Enil",1,"pinta",2,12.467,2,"Enil"
2025,"Ravijoki","11",1,9.157,"Mmbra",1,"kolo",2,21.93,2,"Myotis"
2025,"Ravijoki","11",2,19.255,"Mmbra",1,"kolo",2,21.93,2.6,"Myotis"
2025,"Ravijoki","11",3,17.482,"Mdau",1,"pinta",1.8,21.93,2.6,"Myotis"
2025,"Ravijoki","11",4,15.978,"Mmbra",4,"kolo",3,21.93,3,"Myotis"
2025,"Ravijoki","11",5,3.724,"Paur",2,"kolo",3.5,21.93,6,"Paur"
2025,"Ravijoki","11",5,3.724,"Mmbra",2,"kolo",3.5,21.93,6,"Myotis"
2025,"Ravijoki","11",6,10.859,"Mmbra",1,"kolo",1.5,21.93,2.5,"Myotis"
2025,"Ravijoki","2",1,8.236,"Enil",1,"kolo",2.3,16.608,2.3,"Enil"
2025,"Ravijoki","2",2,6.167,"Enil",1,"kolo",1,16.608,1.9,"Enil"
2025,"Ravijoki","1-180",1,14.456,"Enil",1,"kolo",1,24.446,3.1,"Enil"
2025,"Ravijoki","1-180",2,14.327,"Enil",1,"kolo",1,24.446,2,"Enil"
2025,"Ravijoki","1-180",3,12.398,"Enil",1,"kolo",2.1,24.446,2.5,"Enil"
2025,"Ravijoki","1-180",4,7.053,"Enil",1,"pinta",1.6,24.446,1.6,"Enil"
2025,"Ravijoki","7",1,9.191,"Mmbra",2,"kolo",5,25.985,5,"Myotis"
2025,"Ravijoki","7",2,12.754,"Mmbra",2,"kolo",1.4,25.985,2.3,"Myotis"
2025,"Ravijoki","7",3,12.969,"Enil",1,"kolo",1.5,25.985,2.3,"Enil"
2025,"Ravijoki","7",4,13.362,"Enil",1,"pinta",2.1,25.985,2.3,"Enil"
2025,"Ravijoki","7",5,17.462,"Enil",1,"kolo",2,25.985,2.3,"Enil"
2025,"Ravijoki","7",6,9.137,"Mmbra",2,"kolo",4,25.985,5,"Myotis"
2025,"Ravijoki","7",7,9.556,"Mmbra",4,"kolo",4,25.985,5,"Myotis"
2025,"Ravijoki","7",8,8.712,"Mmbra",3,"kolo",4,25.985,5,"Myotis"
2025,"Ravijoki","7",9,8.477,"Mmbra",3,"kolo",5,25.985,5,"Myotis"
2025,"Ravijoki","7",10,12.767,"Mmbra",2,"kolo",1.5,25.985,2.3,"Myotis"
2025,"Ravijoki","7",11,14.56,"Mmbra",3,"kolo",1.5,25.985,2.3,"Myotis"
2025,"Ravijoki","7",12,17.968,"Mmbra",3,"kolo",1.5,25.985,2.3,"Myotis"
2025,"Ravijoki","7",13,18.567,"Mmbra",1,"kolo",1.9,25.985,2.3,"Myotis"
2025,"Ravijoki","7",14,16.466,"Mmbra",2,"kolo",2,25.985,2.3,"Myotis"
2025,"Ravijoki","7",15,16.005,"Mmbra",1,"kolo",1.9,25.985,2.3,"Myotis"
2025,"Ravijoki","7",15,16.005,"Mmbra",5,"kolo",1.9,25.985,2.3,"Myotis"
2025,"Ravijoki","7",16,15.477,"Mmbra",4,"kolo",1.9,25.985,2.3,"Myotis"
